001;split0;2;0.0001;30;0
002;split1;2;0.0001;30;0
003;split2;2;0.0001;30;0
004;split3;2;0.0001;30;0
005;split4;2;0.0001;30;0
006;split0;1;0.0001;30;0
007;split1;1;0.0001;30;0
008;split2;1;0.0001;30;0
009;split3;1;0.0001;30;0
010;split4;1;0.0001;30;0
011;split0;4;0.0001;30;0
012;split1;4;0.0001;30;0
013;split2;4;0.0001;30;0
014;split3;4;0.0001;30;0
015;split4;4;0.0001;30;0
016;split0;2;0.00001;30;0
017;split1;2;0.00001;30;0
018;split2;2;0.00001;30;0
019;split3;2;0.00001;30;0
020;split4;2;0.00001;30;0
021;split0;1;0.00001;30;0
022;split1;1;0.00001;30;0
023;split2;1;0.00001;30;0
024;split3;1;0.00001;30;0
025;split4;1;0.00001;30;0
026;full;2;0.0001;30;1
027;full;1;0.0001;30;1
028;full;4;0.0001;30;1
029;full;2;0.00001;30;1
030;full;1;0.00001;30;1

