001;split0;2;0.0001;30
002;split1;2;0.0001;30
003;split2;2;0.0001;30
004;split3;2;0.0001;30
005;split4;2;0.0001;30
006;split0;1;0.0001;30
007;split1;1;0.0001;30
008;split2;1;0.0001;30
009;split3;1;0.0001;30
010;split4;1;0.0001;30
011;split0;4;0.0001;30
012;split1;4;0.0001;30
013;split2;4;0.0001;30
014;split3;4;0.0001;30
015;split4;4;0.0001;30
016;split0;2;0.00001;30
017;split1;2;0.00001;30
018;split2;2;0.00001;30
019;split3;2;0.00001;30
020;split4;2;0.00001;30
021;split0;1;0.00001;30
022;split1;1;0.00001;30
023;split2;1;0.00001;30
024;split3;1;0.00001;30
025;split4;1;0.00001;30
026;full;2;0.0001;30
027;full;1;0.0001;30
028;full;4;0.0001;30
029;full;2;0.00001;30
030;full;1;0.00001;30

